County,"Hillary Clinton, 
DEM","Henry Hewes, 
DEM","Roque  Rocky  De La Fuente, 
DEM","Bernie Sanders, 
DEM","Keith Judd, 
DEM","Willie L. Wilson, 
DEM","Martin J. O Malley, 
DEM","John Wolfe, 
DEM","Jon Adams, 
DEM","Uncommitted, 
DEM","Chris Christie, 
REP","Jeb Bush, 
REP","Ben Carson, 
REP","Donald J. Trump, 
REP","Marco Rubio, 
REP","Ted Cruz, 
REP","Rick Santorum, 
REP","Carly Fiorina, 
REP","John R. Kasich, 
REP","Rand Paul, 
REP","Jim Lynch, 
REP","Mike Huckabee, 
REP","Uncommitted, 
REP","Austin Petersen, 
LIB","Steven Elliott  Steve  Kerbel, 
LIB","Rhett Rosenquest Smith, 
LIB","Cecil Ince, 
LIB","Marc Allan Feldman, 
LIB","Uncommitted, 
LIB","Uncommitted, 
CST"


 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 

Adair,799,0,0,"1,155",1,0,0,0,1,7,3,16,34,"1,404",299,"1,167",1,3,514,7,0,21,11,2,0,0,0,2,4,2

Andrew,498,0,1,728,2,2,1,0,3,12,14,18,43,"1,457",221,"1,290",3,5,404,8,1,16,14,1,1,0,0,0,0,0

Atchison,141,0,0,173,0,1,0,0,0,2,0,4,24,487,135,325,1,0,123,5,0,2,9,0,0,1,1,0,2,2

Audrain,749,4,2,728,4,0,3,1,2,16,12,23,43,"1,611",229,"1,642",4,3,423,13,0,5,20,6,1,1,0,1,4,4

Barry,874,2,0,796,2,2,1,0,1,15,10,20,53,"3,030",255,"3,189",4,3,400,16,0,28,23,1,0,2,0,0,1,1

Barton,205,0,0,214,0,0,2,0,0,5,7,13,30,986,102,"1,560",0,1,170,3,0,13,7,0,0,0,0,0,1,4

Bates,518,3,3,632,1,5,1,3,2,22,10,16,40,"1,306",143,"1,080",2,1,199,6,0,16,18,2,0,0,1,0,0,1

Benton,669,1,0,568,0,0,1,1,0,15,4,14,45,"2,278",138,"1,314",4,3,287,8,0,7,10,0,1,0,0,2,1,0

Bollinger,242,2,0,203,0,0,0,2,0,1,8,10,18,"1,272",98,"1,111",0,1,141,3,1,3,6,1,0,0,0,1,0,0

Boone,"9,643",13,7,"15,119",7,6,18,7,5,112,45,91,229,"7,913","2,110","11,235",27,27,"3,733",62,8,26,103,43,17,10,7,10,74,15

Buchanan,"3,443",8,4,"4,148",7,7,6,7,8,93,27,46,150,"4,691",847,"3,879",11,11,"1,478",27,2,40,55,8,4,1,4,1,13,6

Butler,889,7,6,766,3,3,2,2,2,5,11,18,76,"3,652",324,"2,676",3,1,427,15,0,21,12,2,1,0,2,0,2,4

Caldwell,244,1,0,314,0,0,0,0,0,6,2,12,17,780,96,701,3,2,149,2,1,11,10,1,0,0,0,1,2,1

Callaway,"1,378",2,2,"1,679",4,2,5,3,3,18,13,31,90,"3,142",366,"3,262",7,6,584,15,0,17,14,16,3,0,0,2,5,6

Camden,"1,388",6,2,"1,419",1,5,1,3,1,15,16,28,80,"5,467",473,"2,985",3,2,846,8,1,27,25,2,1,1,0,1,3,5

